address,N_of_agg,row_inc,distance,bank,row,col,byteoffset,expected_value,flipped_value,hour,min,sec,hammering
0x203922c456,11,2,2,1,3229,578,6,ff,f7,0,0,19,1
0x201945c89d,11,2,2,1,3235,651,5,ff,bf,0,0,19,2
0x20264e8791,11,2,2,2,821,122,1,ff,fb,0,0,19,3
0x20266d86db,11,2,2,2,827,107,3,ff,ef,0,0,19,4
0x20266d87e8,11,2,2,2,827,125,0,ff,df,0,0,19,5
0x20266e9d48,11,2,2,2,829,465,0,ff,f7,0,0,19,6
0x200c451d84,11,2,2,0,1570,472,4,0,1,0,0,21,7
0x20152a4ee1,11,2,2,3,2700,748,1,0,80,0,0,22,8
0x202bde188b,11,2,2,0,1524,393,3,0,1,0,0,23,9
0x2029468d9c,11,2,2,1,1205,219,4,ff,fb,0,0,24,10
0x202946d92c,11,2,2,1,1205,917,4,ff,ef,0,0,24,11
0x2025f64462,11,2,2,2,764,580,2,0,2,0,0,24,12
0x2025f7067c,11,2,2,2,766,103,4,0,80,0,0,24,13
0x2025f7085d,11,2,2,2,766,131,5,0,80,0,0,24,14
0x2025f74c6d,11,2,2,2,766,709,5,0,40,0,0,24,15
0x2029c4c8a2,11,2,2,3,1265,652,2,ff,7f,0,0,25,16
0x2029c597b2,11,2,2,3,1267,382,2,ff,fd,0,0,25,17
0x20160288bc,11,2,2,0,2821,143,4,ff,bf,0,0,26,18
0x2016029d3c,11,2,2,0,2821,471,4,ff,ef,0,0,26,19
0x20162182c8,11,2,2,0,2827,41,0,ff,fe,0,0,26,20
0x2016219664,11,2,2,0,2827,356,4,ff,bf,0,0,26,21
0x2039ee93d8,11,2,2,1,3325,315,0,ff,ef,0,0,26,22
0x202d5d4f95,11,2,2,2,1714,762,5,0,20,0,0,27,23
0x202d7e0ddc,11,2,2,2,1724,219,4,0,2,0,0,27,24
0x202d7e46fc,11,2,2,2,1724,623,4,0,8,0,0,27,25
0x2012d51c3b,11,2,2,3,2402,455,3,0,1,0,0,28,26
0x202201830c,11,2,2,0,275,49,4,ff,bf,0,0,28,27
0x203d8bd72c,11,2,2,1,3799,885,4,ff,bf,0,0,29,28
0x20077f49fc,11,2,2,2,942,671,4,0,4,0,0,30,29
0x2012ce8b34,11,2,2,0,2405,182,4,ff,fe,0,0,31,30
0x2012ceca3d,11,2,2,0,2405,679,5,ff,fd,0,0,31,31
0x203bcc4a15,11,2,2,1,3568,674,5,0,2,0,0,31,32
0x203bcd5796,11,2,2,1,3570,890,6,0,1,0,0,31,33
0x201c93183a,11,2,2,3,3654,391,2,0,40,0,0,33,34
0x201cb048c2,11,2,2,3,3656,648,2,0,10,0,0,33,35
0x201cb213fd,11,2,2,3,3660,319,5,0,80,0,0,33,36
0x201cb256cd,11,2,2,3,3660,873,5,0,80,0,0,33,37
0x2005b9d8e8,11,2,2,0,715,909,0,ff,7f,0,0,33,38
0x2005224dcb,11,2,2,1,652,729,3,0,40,0,0,34,39
0x2025000784,11,2,2,1,656,120,4,0,40,0,0,34,40
0x202df612dc,11,2,2,2,1788,299,4,0,40,0,0,35,41
0x202df644c0,11,2,2,2,1788,584,0,0,8,0,0,35,42
0x200af683c5,11,2,2,3,1389,56,5,ff,7f,0,0,35,43
0x200af78fd8,11,2,2,3,1391,251,0,ff,bf,0,0,35,44
0x202ad59faf,11,2,2,3,1395,509,7,ff,fe,0,0,35,45
0x203303c5bd,11,2,2,1,2455,607,5,ff,fd,0,0,37,46
0x203321d345,11,2,2,1,2459,816,5,ff,7f,0,0,37,47
0x20224e1c25,11,2,2,2,308,452,5,0,10,0,0,37,48
0x20224f1fab,11,2,2,2,310,509,3,0,1,0,0,37,49
0x203c44d823,11,2,2,0,3633,900,3,ff,bf,0,0,38,50
0x2006c69b2d,11,2,2,2,869,437,5,ff,f7,0,0,40,51
0x201ace5585,11,2,2,0,3428,856,5,0,2,0,0,41,52
0x202502c18d,11,2,2,1,661,537,5,ff,df,0,0,42,53
0x202503ca2c,11,2,2,1,663,677,4,ff,ef,0,0,42,54
0x202503ddad,11,2,2,1,663,989,5,ff,ef,0,0,42,55
0x2031398749,11,2,2,2,2203,113,1,ff,bf,0,0,42,56
0x203f0a4e85,11,2,2,3,3988,744,5,0,4,0,0,43,57
0x200fe744dd,11,2,2,3,2030,587,5,0,40,0,0,46,58
0x202bb95ee0,11,2,2,0,1498,1004,0,0,4,0,0,46,59
0x20187755dc,11,2,2,1,3118,859,4,0,4,0,0,47,60
0x203aa24f73,11,2,2,2,3420,758,3,0,40,0,0,47,61
0x203aa310fd,11,2,2,2,3422,271,5,0,4,0,0,47,62
0x2033de4917,11,2,2,0,2548,658,7,0,20,0,0,49,63
0x2021edd242,11,2,2,1,251,800,2,ff,fe,0,0,49,64
0x2000c6d33c,11,2,2,2,101,823,4,ff,ef,0,0,50,65
0x2000e5ccea,11,2,2,2,107,717,2,ff,ef,0,0,50,66
0x202039c9d7,11,2,2,3,27,666,7,ff,7f,0,0,51,67
0x20203acd57,11,2,2,3,29,722,7,ff,ef,0,0,51,68
0x201f569f32,11,2,2,0,4005,502,2,ff,fd,0,0,51,69
